,city,room_price,image_count,adult_occupancy,child_occupancy,property_id,num_amenities,zones,descr_len,deluxe,num_simhotel,wifi,ac,breakfast,service_value,acceptance_rate,response_label,Apartment,Homestay,Hotel,House,Lodge,Resort,Spa,Villa
100,Jalpaiguri,332.0,7.0,1.0,2.0,78794.0,3.0,2.0,165.0,0.0,10.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
101,Jamshedpur,500.0,0.0,1.0,2.0,72306.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
102,Kalimpong,1700.0,0.0,2.0,2.0,86994.0,1.0,2.0,145.0,0.0,9.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
103,"Kurseong, West Bengal, India",1417.0,25.0,2.0,1.0,112730.0,3.0,2.0,39.0,0.0,9.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Katra,2267.0,40.0,2.0,2.0,44844.0,2.0,3.0,117.0,1.0,9.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
105,Kalimpong,662.0,5.0,1.0,1.0,114434.0,2.0,2.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Jodhpur,3522.0,2.0,1.0,2.0,22651.0,1.0,3.0,113.0,0.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
107,Mandarmani,1649.0,6.0,2.0,2.0,54876.0,3.0,2.0,110.0,0.0,14.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
108,Jalpaiguri,880.0,53.0,2.0,2.0,65406.0,4.0,2.0,117.0,0.0,7.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
109,Kapurthala,978.0,7.0,2.0,2.0,37028.0,4.0,3.0,79.0,0.0,6.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110,Kalimpong,1067.0,17.0,1.0,2.0,44696.0,0.0,2.0,89.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
